1	2	3	4	n_players	n_rounds
23	66	38	4	80	480
66	38	4	23	80	480
60	45	59	62	80	480
62	45	59	60	80	480
62	45	59	60	80	480
15	1	46	63	80	480
46	1	15	63	80	480
1	63	15	46	80	480
80	2	76	25	80	480
80	76	2	25	80	480
25	2	80	76	80	480
69	49	12	57	80	480
57	69	12	49	80	480
57	12	49	69	80	480
55	75	71	26	80	480
55	75	71	26	80	480
55	26	75	71	80	480
53	67	20	11	80	480
20	53	67	11	80	480
11	67	20	53	80	480
37	33	73	24	80	480
33	37	73	24	80	480
37	73	33	24	80	480
50	31	18	77	80	480
18	31	50	77	80	480
50	31	18	77	80	480
64	58	41	7	80	480
58	64	7	41	80	480
64	58	7	41	80	480
44	42	35	3	80	480
3	42	35	44	80	480
3	42	35	44	80	480
72	5	56	22	80	480
5	56	72	22	80	480
22	72	5	56	80	480
28	61	62	19	80	480
28	19	62	61	80	480
28	61	62	19	80	480
39	74	36	66	80	480
39	74	36	66	80	480
39	36	66	74	80	480
70	27	45	21	80	480
21	45	27	70	80	480
45	21	27	70	80	480
54	79	47	32	80	480
79	47	32	54	80	480
47	54	79	32	80	480
10	78	51	68	80	480
78	68	51	10	80	480
78	10	51	68	80	480
52	48	55	14	80	480
14	55	52	48	80	480
48	55	14	52	80	480
80	8	30	43	80	480
80	8	43	30	80	480
80	8	43	30	80	480
23	17	65	16	80	480
17	23	16	65	80	480
65	17	23	16	80	480
64	6	13	29	80	480
13	29	6	64	80	480
64	6	13	29	80	480
38	20	34	9	80	480
34	38	9	20	80	480
20	9	34	38	80	480
75	59	53	4	80	480
59	75	4	53	80	480
59	4	75	53	80	480
1	15	60	57	80	480
15	57	1	60	80	480
1	57	60	15	80	480
69	25	76	40	80	480
25	76	69	40	80	480
76	40	25	69	80	480
12	46	31	63	80	480
63	46	12	31	80	480
46	31	63	12	80	480
33	37	58	50	80	480
50	58	33	37	80	480
37	33	50	58	80	480
72	2	67	49	80	480
49	67	72	2	80	480
2	67	49	72	80	480
5	11	44	24	80	480
44	11	5	24	80	480
5	44	11	24	80	480
35	77	73	56	80	480
35	56	73	77	80	480
56	73	35	77	80	480
18	42	7	26	80	480
18	42	26	7	80	480
42	18	26	7	80	480
41	22	71	3	80	480
41	71	22	3	80	480
71	41	22	3	80	480
80	36	28	47	80	480
47	28	80	36	80	480
28	36	47	80	80	480
78	39	21	27	80	480
39	78	21	27	80	480
27	39	21	78	80	480
55	54	17	45	80	480
55	54	45	17	80	480
55	54	45	17	80	480
19	61	79	32	80	480
79	19	61	32	80	480
79	32	61	19	80	480
48	70	74	59	80	480
48	70	74	59	80	480
74	70	59	48	80	480
23	62	10	8	80	480
23	62	8	10	80	480
8	10	23	62	80	480
6	75	14	65	80	480
6	14	65	75	80	480
14	75	6	65	80	480
1	66	52	51	80	480
66	51	1	52	80	480
52	66	1	51	80	480
64	30	33	46	80	480
33	64	46	30	80	480
64	46	30	33	80	480
15	20	34	43	80	480
34	43	15	20	80	480
20	34	15	43	80	480
37	13	57	18	80	480
57	18	13	37	80	480
18	13	37	57	80	480
16	9	68	38	80	480
38	16	9	68	80	480
16	9	38	68	80	480
76	25	49	12	80	480
25	12	76	49	80	480
25	49	76	12	80	480
67	35	4	2	80	480
67	35	4	2	80	480
2	35	67	4	80	480
71	63	29	50	80	480
71	63	29	50	80	480
29	63	71	50	80	480
69	60	5	11	80	480
60	5	69	11	80	480
60	5	69	11	80	480
42	31	44	58	80	480
44	58	42	31	80	480
44	58	42	31	80	480
40	72	41	53	80	480
72	40	53	41	80	480
41	53	72	40	80	480
56	22	3	24	80	480
3	22	56	24	80	480
56	24	22	3	80	480
26	77	7	73	80	480
26	73	7	77	80	480
73	26	77	7	80	480
47	39	21	28	80	480
39	21	28	47	80	480
47	28	39	21	80	480
54	78	55	79	80	480
78	54	55	79	80	480
78	54	79	55	80	480
80	70	23	36	80	480
80	23	36	70	80	480
36	80	70	23	80	480
27	66	48	61	80	480
48	66	27	61	80	480
61	48	66	27	80	480
19	64	16	32	80	480
64	16	19	32	80	480
16	64	19	32	80	480
45	74	14	6	80	480
45	74	14	6	80	480
45	14	6	74	80	480
67	17	8	1	80	480
67	8	1	17	80	480
17	8	67	1	80	480
25	10	62	34	80	480
62	25	34	10	80	480
10	34	62	25	80	480
60	15	13	52	80	480
15	52	13	60	80	480
15	13	52	60	80	480
75	20	18	35	80	480
35	18	20	75	80	480
20	18	75	35	80	480
76	71	9	33	80	480
76	33	71	9	80	480
9	76	33	71	80	480
51	46	63	72	80	480
63	46	51	72	80	480
51	46	63	72	80	480
59	38	37	65	80	480
38	65	59	37	80	480
37	59	38	65	80	480
30	57	5	44	80	480
5	44	57	30	80	480
5	30	44	57	80	480
56	29	69	43	80	480
56	43	69	29	80	480
56	43	29	69	80	480
41	2	42	26	80	480
41	26	2	42	80	480
42	2	26	41	80	480
40	4	49	68	80	480
49	40	4	68	80	480
40	4	49	68	80	480
53	12	58	73	80	480
73	12	58	53	80	480
53	73	58	12	80	480
50	22	11	31	80	480
31	22	11	50	80	480
50	22	31	11	80	480
24	7	3	77	80	480
77	3	24	7	80	480
3	7	24	77	80	480
